WL,CH1 IL,CH1 PDL,CH2 IL,CH2 PDL,CH3 IL,CH3 PDL,CH4 IL,CH4 PDL,
1260.468 ,6.18,0.14,36.91,1.40,51.71,1.61,49.27,6.84,
1260.480 ,6.18,0.14,36.90,1.36,51.39,2.81,49.24,6.91,
1260.492 ,6.19,0.15,36.91,1.42,51.27,2.17,49.12,8.48,
1260.504 ,6.19,0.17,36.98,1.53,50.55,1.34,49.31,9.25,
1260.516 ,6.18,0.18,37.04,1.69,50.86,2.36,49.38,10.20,
1260.528 ,6.18,0.20,37.11,1.93,50.73,1.53,49.41,13.31,
1260.540 ,6.18,0.21,37.13,2.22,50.59,1.90,49.52,10.11,
1260.552 ,6.19,0.22,37.16,2.23,50.66,3.13,49.16,8.12,
1260.564 ,6.19,0.25,37.16,2.19,50.58,2.47,49.47,8.05,
1260.576 ,6.19,0.27,37.07,2.00,50.53,2.51,49.29,9.75,
1260.588 ,6.19,0.29,36.95,1.69,50.65,5.22,49.24,11.05,
1260.600 ,6.20,0.31,36.88,1.42,50.57,2.38,49.39,8.12,
1260.612 ,6.20,0.33,36.85,1.23,50.63,2.42,49.40,8.66,
1260.624 ,6.21,0.36,36.84,1.17,50.73,3.60,49.46,17.93,
1260.636 ,6.21,0.38,36.87,1.13,50.28,3.15,49.46,10.97,
1260.648 ,6.21,0.40,36.90,1.31,50.50,3.76,49.78,8.08,
1260.660 ,6.21,0.43,36.95,1.40,50.15,6.32,49.25,9.06,
1260.672 ,6.21,0.46,36.98,1.38,50.64,3.73,48.88,8.95,
1260.684 ,6.21,0.48,36.93,1.30,50.74,3.96,49.09,7.81,
1260.696 ,6.21,0.51,36.88,1.03,51.19,2.08,48.94,8.10,
1260.708 ,6.21,0.53,36.80,0.79,51.84,1.16,49.13,8.03,
1260.720 ,6.21,0.56,36.71,0.53,52.08,5.12,48.92,6.43,
1260.732 ,6.21,0.58,36.65,0.35,53.04,4.65,49.27,11.09,
1260.744 ,6.20,0.60,36.64,0.43,52.39,2.51,49.24,9.04,
1260.756 ,6.19,0.63,36.65,0.51,52.35,1.71,49.54,12.34,
1260.768 ,6.19,0.65,36.67,0.53,53.15,2.39,50.14,12.03,
1260.780 ,6.18,0.67,36.69,0.43,53.29,2.56,49.55,9.28,
1260.792 ,6.18,0.69,36.69,0.44,52.56,2.28,49.50,10.03,
1260.804 ,6.17,0.71,36.64,0.48,52.28,3.62,49.78,9.87,
1260.816 ,6.17,0.73,36.59,0.56,52.12,5.50,49.04,8.93,
1260.828 ,6.16,0.75,36.54,0.59,52.02,3.90,49.33,11.19,
1260.840 ,6.16,0.76,36.58,0.66,51.39,3.44,49.38,10.62,
1260.852 ,6.15,0.78,36.62,0.69,51.22,0.95,49.38,17.60,
1260.864 ,6.14,0.79,36.67,0.64,51.20,3.67,49.42,23.50,
1260.876 ,6.13,0.80,36.77,0.65,50.84,4.67,49.27,14.88,
1260.888 ,6.13,0.81,36.84,0.76,51.02,4.00,49.18,10.66,
1260.900 ,6.12,0.82,36.91,0.94,50.92,2.69,49.50,12.01,
1260.912 ,6.12,0.83,36.92,1.06,50.43,2.24,49.57,17.20,
1260.924 ,6.11,0.83,36.86,0.97,51.06,3.54,48.96,8.52,
1260.936 ,6.10,0.84,36.72,0.79,50.85,4.07,49.02,8.58,
1260.948 ,6.09,0.84,36.60,0.62,50.69,2.56,49.14,9.76,
1260.960 ,6.08,0.84,36.52,0.64,50.70,2.75,49.52,10.20,
1260.972 ,6.07,0.84,36.45,0.73,51.01,2.75,49.45,10.61,
1260.984 ,6.06,0.83,36.51,0.82,50.58,2.64,49.32,10.78,
1260.996 ,6.05,0.83,36.55,0.79,50.70,1.48,49.29,14.82,
1261.008 ,6.04,0.82,36.59,0.72,50.74,1.68,49.69,13.21,
1261.020 ,6.03,0.82,36.63,0.68,50.41,2.32,49.81,10.66,
1261.032 ,6.02,0.81,36.66,0.74,50.68,2.60,49.12,10.39,
1261.044 ,6.00,0.80,36.60,0.78,51.18,3.04,49.11,10.13,
1261.056 ,5.99,0.79,36.53,0.91,51.23,1.15,49.01,5.99,
1261.068 ,5.97,0.78,36.40,1.09,51.11,2.29,49.10,6.99,
1261.080 ,5.96,0.76,36.33,1.33,51.71,2.97,49.30,6.87,
1261.092 ,5.94,0.75,36.26,1.40,51.83,2.28,49.32,8.09,
1261.104 ,5.92,0.74,36.21,1.48,52.66,4.50,49.35,9.14,
1261.116 ,5.91,0.72,36.24,1.48,53.57,2.35,49.30,6.56,
1261.128 ,5.89,0.70,36.27,1.41,53.09,3.96,49.35,7.20,
1261.140 ,5.87,0.69,36.24,1.37,53.13,3.89,49.59,8.23,
1261.152 ,5.85,0.67,36.22,1.32,53.03,3.90,49.53,7.87,
1261.164 ,5.84,0.65,36.17,1.26,52.53,3.85,49.75,7.47,
1261.176 ,5.82,0.63,36.11,1.25,52.70,3.39,49.38,7.55,
1261.188 ,5.80,0.61,36.04,1.29,52.31,1.95,49.26,8.69,
1261.200 ,5.79,0.59,36.05,1.28,51.84,1.28,49.57,8.38,
1261.212 ,5.77,0.58,36.11,1.15,51.43,3.24,49.74,11.55,
1261.224 ,5.75,0.55,36.18,0.92,51.45,2.67,49.67,10.27,
1261.236 ,5.74,0.53,36.23,0.64,51.37,2.90,49.66,10.63,
1261.248 ,5.72,0.51,36.31,0.36,51.61,2.64,49.56,10.52,
1261.260 ,5.70,0.49,36.32,0.22,51.06,1.77,49.66,11.58,
1261.272 ,5.68,0.47,36.28,0.22,51.22,1.82,49.44,11.59,
1261.284 ,5.67,0.44,36.21,0.17,51.63,1.32,49.59,9.84,
1261.296 ,5.66,0.42,36.11,0.25,51.24,1.71,49.38,6.67,
1261.308 ,5.64,0.40,36.01,0.29,51.05,1.36,49.71,7.57,
1261.320 ,5.62,0.38,35.92,0.42,50.92,0.72,49.75,8.63,
1261.332 ,5.61,0.35,35.89,0.50,50.98,0.89,49.53,10.22,
1261.344 ,5.60,0.33,35.88,0.46,50.96,2.27,49.90,7.61,
1261.356 ,5.58,0.32,35.94,0.28,51.02,0.52,50.30,11.39,
1261.368 ,5.56,0.29,35.97,0.23,51.10,1.88,50.09,24.98,
1261.380 ,5.54,0.28,35.98,0.20,50.91,1.02,49.76,8.84,
1261.392 ,5.53,0.27,35.95,0.18,51.02,2.46,49.44,5.93,
1261.404 ,5.51,0.25,35.92,0.23,51.05,1.37,49.44,7.89,
1261.416 ,5.50,0.23,35.84,0.30,51.67,1.47,49.58,6.40,
1261.428 ,5.49,0.22,35.76,0.43,52.64,3.85,49.33,7.64,
1261.440 ,5.47,0.20,35.72,0.56,52.42,1.28,49.35,8.32,
1261.452 ,5.46,0.19,35.69,0.62,52.54,2.37,49.51,6.83,
1261.464 ,5.45,0.18,35.69,0.77,52.94,2.37,49.82,9.26,
1261.476 ,5.43,0.16,35.67,0.72,53.10,1.87,50.11,5.59,
1261.488 ,5.42,0.17,35.66,0.69,52.37,3.35,50.33,6.29,
1261.500 ,5.41,0.16,35.63,0.67,52.39,5.25,49.89,7.44,
1261.512 ,5.40,0.14,35.59,0.65,53.03,7.28,50.32,12.32,
1261.524 ,5.39,0.14,35.55,0.69,52.60,3.45,50.43,7.54,
1261.536 ,5.38,0.14,35.51,0.70,52.86,4.12,50.32,5.55,
1261.548 ,5.37,0.14,35.48,0.72,51.54,0.96,49.96,7.74,
1261.560 ,5.36,0.14,35.52,0.63,51.73,1.07,50.25,8.33,
1261.572 ,5.36,0.14,35.56,0.70,51.90,1.92,50.62,8.24,
1261.584 ,5.34,0.13,35.64,0.66,51.00,2.67,50.38,9.41,
1261.596 ,5.34,0.14,35.68,0.77,51.24,1.35,50.08,8.94,
1261.608 ,5.33,0.15,35.72,0.94,50.75,1.00,50.61,7.76,
1261.620 ,5.32,0.15,35.70,1.02,50.50,1.56,50.65,7.14,
1261.632 ,5.31,0.15,35.62,1.00,50.73,0.78,49.94,14.44,
1261.644 ,5.30,0.15,35.55,0.91,50.78,2.38,49.94,9.95,
1261.656 ,5.30,0.16,35.44,0.78,50.94,1.95,50.36,7.67,
1261.668 ,5.29,0.16,35.36,0.70,50.70,2.83,50.71,10.01,
1261.680 ,5.29,0.17,35.34,0.64,50.48,1.97,50.77,9.84,
1261.692 ,5.28,0.17,35.34,0.64,51.18,2.65,50.59,14.72,
1261.704 ,5.27,0.17,35.33,0.75,50.50,1.84,50.05,6.87,
1261.716 ,5.27,0.18,35.38,0.76,50.81,1.60,50.27,5.21,
1261.728 ,5.26,0.18,35.40,0.84,50.95,1.30,50.41,8.43,
1261.740 ,5.26,0.19,35.36,0.88,51.34,2.57,50.37,6.16,
1261.752 ,5.25,0.19,35.32,0.76,51.50,2.63,50.04,5.74,
1261.764 ,5.25,0.20,35.29,0.66,51.96,4.08,50.25,6.83,
1261.776 ,5.25,0.20,35.25,0.51,52.02,0.87,50.31,8.18,
1261.788 ,5.25,0.20,35.18,0.37,52.81,1.88,50.23,8.75,
1261.800 ,5.24,0.21,35.16,0.35,52.05,1.65,50.34,15.02,
1261.812 ,5.24,0.21,35.15,0.37,52.50,2.42,50.67,10.55,
1261.824 ,5.24,0.22,35.16,0.37,52.38,3.85,50.97,12.23,
1261.836 ,5.24,0.23,35.17,0.38,52.62,2.48,50.66,26.20,
1261.848 ,5.23,0.23,35.15,0.40,52.71,1.37,50.90,10.89,
1261.860 ,5.23,0.25,35.11,0.47,52.45,1.13,50.92,11.67,
1261.872 ,5.23,0.26,35.06,0.41,52.67,0.42,50.84,11.99,
1261.884 ,5.23,0.28,34.99,0.51,52.03,1.66,50.41,10.65,
1261.896 ,5.24,0.29,34.97,0.58,52.03,5.00,50.49,13.90,
1261.908 ,5.24,0.30,34.99,0.56,51.37,1.36,50.10,9.57,
1261.920 ,5.24,0.32,35.04,0.55,51.24,1.31,50.32,9.10,
1261.932 ,5.24,0.34,35.13,0.43,51.27,1.84,50.28,8.87,
1261.944 ,5.25,0.36,35.20,0.48,51.30,2.55,50.04,12.34,
1261.956 ,5.25,0.38,35.26,0.51,51.07,1.38,50.41,14.51,
1261.968 ,5.25,0.40,35.27,0.54,50.51,2.17,50.18,11.59,
1261.980 ,5.25,0.41,35.22,0.48,50.28,2.96,49.98,8.38,
1261.992 ,5.26,0.43,35.16,0.36,50.85,1.62,49.89,11.54,
1262.004 ,5.26,0.46,35.07,0.35,50.93,1.21,50.07,12.90,
1262.016 ,5.26,0.47,34.97,0.42,50.44,3.33,50.28,11.61,
1262.028 ,5.26,0.49,34.90,0.59,50.31,3.44,49.96,12.24,
1262.040 ,5.26,0.51,34.88,0.70,50.42,2.49,50.39,18.95,
1262.052 ,5.25,0.53,34.91,0.74,50.35,2.03,50.51,11.63,
1262.064 ,5.25,0.54,34.96,0.75,50.44,2.10,50.59,14.61,
1262.076 ,5.25,0.56,35.02,0.75,50.71,1.96,49.84,9.10,
1262.088 ,5.24,0.58,35.03,0.75,50.23,5.22,49.94,8.63,
1262.100 ,5.24,0.60,35.01,0.78,51.47,1.52,49.74,8.39,
1262.112 ,5.24,0.61,34.95,0.86,51.70,1.98,49.81,11.15,
1262.124 ,5.24,0.63,34.90,1.02,51.63,3.04,49.44,9.52,
1262.136 ,5.23,0.64,34.82,1.25,52.25,2.81,50.14,10.31,
1262.148 ,5.23,0.65,34.75,1.46,52.41,4.34,49.98,11.16,
1262.160 ,5.22,0.66,34.72,1.61,53.42,3.50,50.06,11.89,
1262.172 ,5.22,0.67,34.72,1.76,53.40,5.55,50.67,9.92,
1262.184 ,5.21,0.68,34.72,1.77,52.95,2.31,51.11,17.88,
1262.196 ,5.21,0.69,34.73,1.70,53.04,5.02,50.60,10.25,
1262.208 ,5.20,0.70,34.71,1.78,52.89,2.51,50.52,11.26,
1262.220 ,5.20,0.70,34.63,1.79,52.58,3.17,50.11,6.74,
1262.232 ,5.19,0.70,34.57,1.87,52.76,3.62,50.20,8.33,
1262.244 ,5.18,0.71,34.49,2.02,52.68,2.77,50.12,14.72,
1262.256 ,5.18,0.71,34.48,2.13,52.86,4.26,50.12,17.46,
1262.268 ,5.18,0.72,34.49,2.15,52.40,4.25,50.30,13.97,
1262.280 ,5.17,0.72,34.56,2.04,52.26,3.77,50.03,8.45,
1262.292 ,5.17,0.72,34.63,1.86,51.54,2.56,49.92,12.35,
1262.304 ,5.16,0.72,34.73,1.66,51.15,1.07,49.93,11.35,
1262.316 ,5.15,0.72,34.78,1.47,50.97,2.80,50.02,13.47,
1262.328 ,5.15,0.72,34.82,1.37,50.70,0.94,50.06,13.51,
1262.340 ,5.14,0.71,34.78,1.33,50.95,1.05,49.86,13.12,
1262.352 ,5.12,0.70,34.67,1.38,50.99,2.45,50.01,17.59,
1262.364 ,5.11,0.70,34.54,1.46,51.07,3.62,50.12,9.30,
1262.376 ,5.11,0.69,34.45,1.63,51.27,1.00,50.09,12.29,
1262.388 ,5.10,0.68,34.37,1.77,51.32,1.12,50.23,14.63,
1262.400 ,5.09,0.67,34.36,1.78,51.08,1.61,50.01,9.98,
1262.412 ,5.07,0.66,34.37,1.72,50.78,0.51,50.53,14.57,
1262.424 ,5.06,0.65,34.42,1.59,51.08,2.15,50.50,35.66,
1262.436 ,5.05,0.64,34.47,1.50,51.06,2.21,50.25,17.69,
1262.448 ,5.04,0.62,34.50,1.46,51.23,2.01,49.95,9.34,
1262.460 ,5.02,0.60,34.48,1.41,51.63,1.80,49.95,8.04,
1262.472 ,5.00,0.59,34.42,1.50,51.47,2.89,50.05,9.24,
1262.484 ,4.99,0.57,34.34,1.65,51.55,4.89,49.87,7.85,
1262.496 ,4.98,0.56,34.28,1.77,52.61,2.89,49.97,8.91,
1262.508 ,4.97,0.55,34.24,1.96,52.29,3.27,50.14,8.35,
1262.520 ,4.96,0.53,34.22,2.02,53.60,8.43,50.05,7.07,
1262.532 ,4.94,0.51,34.21,2.02,53.20,9.16,50.63,11.48,
1262.544 ,4.92,0.50,34.20,2.02,53.36,7.94,50.96,9.22,
1262.556 ,4.92,0.48,34.20,1.94,52.98,4.16,50.38,7.45,
1262.568 ,4.90,0.46,34.16,1.90,53.21,2.63,50.27,7.27,
1262.580 ,4.89,0.45,34.09,1.95,53.53,5.20,50.25,7.15,
1262.592 ,4.87,0.43,34.04,1.97,53.03,3.14,50.31,11.80,
1262.604 ,4.86,0.41,33.98,1.99,52.75,2.05,50.88,11.91,
1262.616 ,4.86,0.40,33.95,1.99,52.74,6.04,50.54,10.43,
1262.628 ,4.84,0.38,33.99,1.91,52.31,4.09,50.50,10.10,
1262.640 ,4.82,0.37,34.04,1.80,51.86,3.97,50.70,11.44,
1262.652 ,4.81,0.35,34.10,1.57,51.26,4.47,50.67,8.33,
1262.664 ,4.80,0.33,34.17,1.31,51.10,2.48,50.86,9.46,
1262.676 ,4.79,0.32,34.20,1.05,51.36,3.06,50.45,7.31,
1262.688 ,4.77,0.30,34.19,0.89,51.22,2.12,50.43,7.87,
1262.700 ,4.76,0.28,34.15,0.80,51.48,2.93,50.40,11.42,
1262.712 ,4.75,0.27,34.04,0.86,51.46,1.29,50.89,14.50,
1262.724 ,4.74,0.25,33.96,0.90,51.42,0.99,50.67,11.66,
1262.736 ,4.73,0.23,33.87,1.03,51.27,1.09,50.55,10.63,
1262.748 ,4.71,0.22,33.80,1.03,51.34,2.33,51.05,17.37,
1262.760 ,4.70,0.20,33.79,0.99,51.47,3.77,51.24,14.51,
1262.772 ,4.69,0.19,33.80,0.91,51.29,1.76,51.05,10.78,
1262.784 ,4.68,0.18,33.83,0.77,51.12,1.47,51.00,11.24,
1262.796 ,4.67,0.17,33.85,0.65,51.23,1.29,50.76,9.87,
1262.808 ,4.66,0.16,33.84,0.55,51.47,3.12,50.31,6.08,
1262.820 ,4.64,0.15,33.83,0.54,51.92,2.19,50.34,8.65,
1262.832 ,4.64,0.13,33.77,0.57,51.94,1.33,50.32,7.11,
1262.844 ,4.63,0.14,33.74,0.69,52.54,3.30,50.70,7.15,
1262.856 ,4.62,0.13,33.68,0.75,52.44,0.95,50.81,7.91,
1262.868 ,4.61,0.12,33.66,0.84,52.53,2.14,50.83,5.50,
1262.880 ,4.60,0.12,33.65,0.88,52.87,2.39,51.11,7.83,
1262.892 ,4.60,0.11,33.65,0.91,52.87,1.63,51.58,14.69,
1262.904 ,4.59,0.11,33.64,0.85,52.55,1.71,51.72,9.24,
1262.916 ,4.58,0.11,33.62,0.84,52.50,1.90,52.39,9.65,
1262.928 ,4.58,0.11,33.56,0.88,52.73,3.61,51.63,8.16,
1262.940 ,4.57,0.11,33.51,0.95,53.76,4.14,51.52,8.97,
1262.952 ,4.57,0.11,33.45,1.00,53.23,3.58,51.62,9.61,
1262.964 ,4.57,0.12,33.43,1.03,52.76,2.20,51.35,7.86,
1262.976 ,4.56,0.12,33.43,1.04,52.35,4.70,51.29,7.14,
1262.988 ,4.56,0.12,33.45,0.94,51.91,3.28,51.59,13.76,
1263.000 ,4.55,0.13,33.50,0.83,51.61,2.22,51.32,10.03,
1263.012 ,4.55,0.13,33.57,0.62,51.48,2.47,51.47,9.93,
1263.024 ,4.54,0.13,33.60,0.45,51.23,2.20,51.68,10.98,
1263.036 ,4.54,0.14,33.59,0.40,50.69,2.37,51.43,7.99,
1263.048 ,4.54,0.15,33.55,0.33,51.04,1.88,50.95,8.84,
1263.060 ,4.54,0.15,33.48,0.30,51.10,2.15,50.85,7.33,
1263.072 ,4.53,0.16,33.38,0.36,50.88,3.49,51.08,8.55,
1263.084 ,4.53,0.17,33.31,0.42,51.08,1.13,51.48,12.02,
1263.096 ,4.52,0.17,33.24,0.53,50.98,2.02,50.99,8.27,
1263.108 ,4.52,0.19,33.22,0.55,50.90,2.09,51.53,9.54,
1263.120 ,4.52,0.20,33.22,0.51,50.53,1.60,51.60,8.91,
1263.132 ,4.52,0.21,33.24,0.42,50.72,2.25,50.95,6.21,
1263.144 ,4.51,0.23,33.26,0.35,50.67,1.90,51.06,7.65,
1263.156 ,4.51,0.24,33.27,0.33,50.82,1.79,51.05,8.64,
1263.168 ,4.51,0.26,33.26,0.34,51.33,1.95,50.73,5.95,
1263.180 ,4.51,0.28,33.22,0.43,51.73,2.59,50.81,8.42,
1263.192 ,4.51,0.29,33.16,0.56,51.90,2.65,51.22,10.23,
1263.204 ,4.51,0.30,33.11,0.74,52.77,2.57,50.60,8.88,
1263.216 ,4.51,0.32,33.09,0.90,53.22,2.57,51.23,8.40,
1263.228 ,4.51,0.34,33.08,1.01,52.81,4.72,51.57,8.33,
1263.240 ,4.51,0.35,33.08,1.09,52.70,4.49,51.23,11.54,
1263.252 ,4.51,0.37,33.07,1.09,53.70,5.63,51.41,10.36,
1263.264 ,4.51,0.38,33.06,1.12,52.85,3.72,51.04,6.91,
1263.276 ,4.51,0.40,33.02,1.17,52.73,2.34,50.99,7.05,
1263.288 ,4.52,0.42,32.96,1.27,52.06,2.37,51.34,9.53,
1263.300 ,4.52,0.43,32.91,1.42,52.02,2.27,51.76,10.22,
1263.312 ,4.52,0.44,32.84,1.54,51.83,1.74,51.46,9.29,
1263.324 ,4.52,0.46,32.81,1.64,51.91,0.29,51.05,8.88,
1263.336 ,4.52,0.48,32.82,1.68,52.17,1.10,50.98,10.40,
1263.348 ,4.52,0.50,32.87,1.70,51.47,1.02,51.01,18.79,
1263.360 ,4.51,0.51,32.91,1.59,51.01,1.11,50.55,11.21,
1263.372 ,4.51,0.53,32.97,1.47,50.95,2.48,50.54,7.78,
1263.384 ,4.51,0.55,33.01,1.38,50.27,0.94,50.28,7.78,
1263.396 ,4.51,0.56,33.01,1.33,50.36,0.43,50.79,8.81,
1263.408 ,4.50,0.57,32.96,1.35,50.37,0.86,50.26,9.63,
1263.420 ,4.50,0.58,32.88,1.45,50.81,2.63,50.74,13.78,
1263.432 ,4.50,0.59,32.76,1.61,50.38,1.14,50.41,9.35,
1263.444 ,4.50,0.61,32.69,1.74,50.81,2.11,50.72,10.76,
1263.456 ,4.50,0.62,32.62,1.87,50.71,3.97,50.39,7.58,
1263.468 ,4.50,0.63,32.59,1.93,50.62,0.83,50.47,7.61,
1263.480 ,4.49,0.64,32.61,1.94,50.58,1.37,50.82,11.22,
1263.492 ,4.49,0.65,32.64,1.89,50.68,2.18,50.26,6.09,
1263.504 ,4.49,0.66,32.67,1.85,51.19,3.32,50.28,6.59,
1263.516 ,4.49,0.67,32.69,1.83,51.60,2.63,50.50,11.32,
1263.528 ,4.48,0.67,32.66,1.86,51.29,1.36,50.22,9.39,
1263.540 ,4.48,0.68,32.62,1.92,51.82,2.52,50.46,7.63,
1263.552 ,4.48,0.68,32.58,2.05,52.45,5.42,50.79,13.06,
1263.564 ,4.47,0.69,32.54,2.22,53.07,6.25,50.56,8.96,
1263.576 ,4.47,0.69,32.50,2.33,52.54,3.40,50.82,14.80,
1263.588 ,4.46,0.69,32.47,2.44,52.71,2.10,50.54,9.54,
1263.600 ,4.45,0.69,32.48,2.48,52.82,3.93,50.77,10.45,
1263.612 ,4.45,0.69,32.49,2.48,52.96,2.13,51.26,12.19,
1263.624 ,4.45,0.69,32.48,2.48,53.49,2.38,51.11,10.18,
1263.636 ,4.44,0.68,32.43,2.52,52.28,2.64,50.86,6.91,
1263.648 ,4.42,0.68,32.36,2.61,52.61,2.72,51.49,17.61,
1263.660 ,4.42,0.68,32.28,2.72,52.28,2.52,50.85,8.63,
1263.672 ,4.41,0.67,32.22,2.78,51.99,2.78,51.01,8.03,
1263.684 ,4.40,0.66,32.20,2.85,51.71,1.49,50.60,10.21,
1263.696 ,4.38,0.65,32.19,2.82,51.87,2.55,51.03,11.84,
1263.708 ,4.37,0.64,32.25,2.69,52.22,3.41,50.75,12.22,
1263.720 ,4.37,0.63,32.34,2.51,51.31,1.24,50.60,12.62,
1263.732 ,4.36,0.62,32.39,2.36,51.08,2.22,50.24,8.71,
1263.744 ,4.35,0.61,32.42,2.20,51.28,2.23,50.67,11.31,
1263.756 ,4.33,0.59,32.41,2.06,51.24,2.51,50.62,10.81,
1263.768 ,4.32,0.58,32.35,2.02,51.49,2.27,50.42,8.34,
1263.780 ,4.31,0.56,32.26,2.02,51.32,2.34,50.59,9.36,
1263.792 ,4.30,0.55,32.15,2.11,51.63,2.70,50.74,10.24,
1263.804 ,4.29,0.53,32.05,2.15,51.14,2.32,51.06,10.50,
1263.816 ,4.28,0.52,31.99,2.14,51.13,1.25,51.22,15.87,
1263.828 ,4.27,0.50,31.98,2.11,51.26,1.64,50.76,9.11,
1263.840 ,4.27,0.49,32.00,2.01,51.00,3.19,51.01,7.68,
1263.852 ,4.26,0.48,32.03,1.85,51.32,2.04,51.20,8.64,
1263.864 ,4.25,0.46,32.05,1.72,51.26,2.11,51.08,8.15,
1263.876 ,4.24,0.45,32.04,1.64,51.04,2.94,50.59,7.35,
1263.888 ,4.24,0.43,32.02,1.57,51.79,2.34,50.69,10.63,
1263.900 ,4.23,0.41,31.98,1.58,52.38,3.77,50.83,12.71,
1263.912 ,4.22,0.39,31.94,1.63,52.92,3.24,51.12,16.29,
1263.924 ,4.21,0.38,31.90,1.68,53.81,3.46,51.16,9.15,
1263.936 ,4.20,0.36,31.87,1.74,54.01,4.76,51.08,10.79,
1263.948 ,4.19,0.34,31.86,1.75,53.43,3.46,51.51,17.15,
1263.960 ,4.18,0.32,31.85,1.71,53.14,3.93,51.63,14.95,
1263.972 ,4.16,0.31,31.83,1.68,53.46,3.29,51.71,12.73,
1263.984 ,4.15,0.29,31.82,1.63,53.20,2.99,51.46,8.22,
1263.996 ,4.14,0.27,31.77,1.66,53.07,1.22,51.49,7.55,
1264.008 ,4.13,0.26,31.71,1.68,53.68,4.27,51.79,13.29,
1264.020 ,4.12,0.24,31.65,1.74,53.07,6.19,51.36,10.68,
1264.032 ,4.11,0.22,31.59,1.78,52.80,3.08,51.44,12.85,
1264.044 ,4.09,0.21,31.56,1.80,53.13,2.59,51.63,10.56,
1264.056 ,4.09,0.20,31.59,1.74,51.85,1.96,51.79,22.72,
1264.068 ,4.08,0.18,31.61,1.63,51.95,2.72,52.12,19.00,
1264.080 ,4.06,0.16,31.65,1.45,51.45,1.97,51.89,7.93,
1264.092 ,4.05,0.15,31.70,1.23,51.82,4.19,51.68,6.20,
1264.104 ,4.04,0.14,31.72,1.05,51.53,2.84,51.63,9.85,
1264.116 ,4.04,0.12,31.70,0.95,51.59,2.07,51.41,7.96,
1264.128 ,4.03,0.11,31.64,0.87,51.61,1.51,51.62,8.74,
1264.140 ,4.01,0.10,31.57,0.90,51.33,2.58,52.03,13.01,
